Flight Number,Origin,Destination,Departure Time,Arrival Time,Delay (min),Cancelled,Passenger Age,Passenger Gender,Ticket Class,Satisfaction Score,Ticket Price,Ancillary Revenue,Fuel Cost,Profit
FL9849,MIA,DEN,10/06/2023 05:01,10/06/2023 07:41,0,FALSE,39,Other,Premium Economy,2.2,646.18,270.78,9882.91,-8965.95
FL8640,ATL,DEN,05/07/2023 11:22,05/07/2023 15:36,0,FALSE,60,Male,First,1.2,1462.88,30.91,8500.34,-7006.55
FL9011,BOS,ORD,26/04/2023 14:01,26/04/2023 19:32,0,FALSE,59,Female,Premium Economy,2.5,367.36,90.54,8849.68,-8391.78
FL4716,JFK,DEN,15/01/2023 11:51,15/01/2023 16:18,0,FALSE,33,Female,Economy,1.8,823.05,157.3,17193.19,-16212.84
FL1766,BOS,DFW,16/05/2023 20:12,17/05/2023 02:10,0,FALSE,56,Male,Premium Economy,1.1,1906.18,122.72,16921.25,-14892.35
FL6455,BOS,MIA,19/03/2023 08:06,19/03/2023 14:27,0,TRUE,42,Other,Premium Economy,2.9,537.37,128.86,19361.86,-18695.63
FL2457,LAX,SFO,28/12/2023 23:51,29/12/2023 06:30,0,TRUE,47,Male,Business,1.8,1056.98,108.29,19870.98,-18705.71
FL1076,ORD,DEN,20/12/2023 09:00,20/12/2023 13:55,59,FALSE,51,Female,Economy,5,310.32,125.94,17951.64,-17515.38
FL3825,JFK,ORD,13/01/2023 21:45,14/01/2023 03:15,0,FALSE,55,Female,Economy,3.8,865.97,197.79,5028.04,-3964.28
FL1108,LAX,SEA,25/09/2023 10:48,25/09/2023 16:04,0,FALSE,68,Other,Premium Economy,4,441.73,44.32,14081.22,-13595.17
FL2409,DEN,BOS,21/07/2023 20:14,22/07/2023 02:33,6,FALSE,20,Other,First,5,1538.2,270.61,14982.49,-13173.68
FL8535,DFW,BOS,21/07/2023 07:38,21/07/2023 14:26,98,FALSE,56,Female,Business,4,508.26,24.76,11904.8,-11371.78
FL3188,SEA,DFW,03/08/2023 18:39,04/08/2023 00:42,0,TRUE,52,Female,First,3.5,508.08,12.61,6052.3,-5531.61
FL2211,LAX,ORD,07/09/2023 13:40,07/09/2023 15:46,0,FALSE,54,Female,Business,1.3,1037.25,19.96,8543.81,-7486.6
FL2273,SFO,JFK,09/06/2023 18:53,09/06/2023 21:45,0,FALSE,46,Female,First,2.4,1386.13,36.91,17864.33,-16441.29
FL5673,BOS,MIA,04/03/2023 11:30,04/03/2023 14:11,0,TRUE,23,Other,Business,4.6,1699.5,82.91,11868.98,-10086.57
FL3653,ATL,SEA,24/04/2023 23:10,25/04/2023 05:02,0,FALSE,49,Male,First,1.8,1784.54,264.86,16801.28,-14751.88
FL6407,DEN,SEA,06/12/2023 13:49,06/12/2023 17:31,168,FALSE,39,Other,Business,4.1,398.55,97.04,9910.1,-9414.51
FL1227,JFK,ATL,27/12/2023 19:02,27/12/2023 23:22,0,FALSE,62,Other,Business,3.6,837.29,181.46,9706.23,-8687.48
FL6568,DFW,BOS,21/02/2023 07:03,21/02/2023 11:09,138,FALSE,73,Male,Premium Economy,4.8,732.42,266.5,19369.1,-18370.18
FL6809,SEA,SFO,23/04/2023 15:57,23/04/2023 22:11,0,FALSE,48,Female,Business,1.4,1088.89,17.25,5012.5,-3906.36
FL4577,DEN,MIA,05/06/2023 02:40,05/06/2023 05:33,28,FALSE,51,Male,Economy,4.6,757.5,169.3,11293.35,-10366.55
FL6005,MIA,DFW,17/01/2023 05:32,17/01/2023 11:21,0,FALSE,72,Other,Business,4.8,619.2,113.35,13752.36,-13019.81
FL4810,BOS,MIA,06/08/2023 09:57,06/08/2023 14:03,0,TRUE,53,Other,Economy,2.4,974.62,43.87,7014.8,-5996.31
FL4307,MIA,SFO,15/06/2023 23:05,16/06/2023 04:11,0,TRUE,72,Male,First,3.3,521.03,77.17,10949.36,-10351.16
FL9772,SEA,ATL,06/02/2023 03:46,06/02/2023 10:45,10,TRUE,19,Male,Premium Economy,3.4,897.41,79.21,9944.86,-8968.24
FL8569,MIA,JFK,18/03/2023 11:35,18/03/2023 14:03,0,FALSE,80,Other,Premium Economy,3.8,987.89,34.15,11581.43,-10559.39
FL8275,SEA,JFK,10/10/2023 13:50,10/10/2023 16:41,0,FALSE,62,Other,Premium Economy,2.7,1434.21,192.81,19141.7,-17514.68
FL5015,ORD,DFW,21/04/2023 05:52,21/04/2023 08:21,0,FALSE,47,Male,Premium Economy,3,446.73,56.38,12884.03,-12380.92
FL3885,ORD,DFW,15/01/2023 19:04,15/01/2023 21:18,0,FALSE,41,Other,Premium Economy,1.9,1804.18,214.05,5762.89,-3744.66
FL8625,JFK,MIA,20/03/2023 21:30,21/03/2023 01:59,5,FALSE,38,Other,Business,4.1,832.56,128.26,11530.5,-10569.68
FL9959,MIA,ORD,01/08/2023 12:32,01/08/2023 15:00,0,FALSE,67,Male,First,4.5,924.14,254.07,11300.28,-10122.07
FL1248,SEA,BOS,05/02/2023 10:47,05/02/2023 16:39,59,TRUE,78,Other,Economy,1.6,623.06,29.56,19092.21,-18439.59
FL2570,LAX,MIA,05/12/2023 18:07,06/12/2023 00:41,0,FALSE,58,Male,Premium Economy,2,726.69,237.22,8460.54,-7496.63
FL3862,DEN,SEA,06/06/2023 20:57,07/06/2023 02:14,55,FALSE,66,Other,Premium Economy,4.1,1052.52,52.1,18647.58,-17542.96
FL5582,SFO,DFW,22/08/2023 00:14,22/08/2023 03:56,0,FALSE,23,Male,First,4.8,1990.1,22.08,10209.94,-8197.76
FL5298,SFO,MIA,16/09/2023 21:35,17/09/2023 00:57,84,TRUE,37,Female,Economy,2.9,1092.79,235.8,13321.43,-11992.84
FL8918,ATL,DEN,22/12/2023 14:52,22/12/2023 20:40,0,FALSE,38,Other,First,4,1665.57,19.78,6264.42,-4579.07
FL7562,DEN,BOS,17/04/2023 05:24,17/04/2023 11:11,0,FALSE,34,Other,Premium Economy,3.2,1126.08,4.68,15890.16,-14759.4
FL7939,SFO,LAX,18/05/2023 02:35,18/05/2023 04:47,0,FALSE,53,Male,Premium Economy,4.3,402.38,291.12,15233.54,-14540.04
FL4613,LAX,MIA,15/10/2023 00:55,15/10/2023 05:48,0,FALSE,18,Male,Business,2.8,1936.19,135.98,5362.63,-3290.46
FL8273,ATL,BOS,13/10/2023 01:12,13/10/2023 06:37,0,TRUE,76,Female,Business,1.2,1180.76,195.33,6778.24,-5402.15
FL8134,ATL,BOS,17/05/2023 22:04,18/05/2023 03:11,0,TRUE,37,Female,Business,3.9,254.33,232.24,16736.4,-16249.83
FL2368,SFO,MIA,04/07/2023 03:46,04/07/2023 07:33,0,FALSE,76,Male,Premium Economy,2.8,1900.45,134.02,8815.45,-6780.98
FL3529,SEA,MIA,04/03/2023 06:22,04/03/2023 08:49,0,FALSE,71,Female,Business,4,1764.2,159.25,8621.3,-6697.85
FL7955,DFW,ATL,13/02/2023 00:45,13/02/2023 07:05,0,FALSE,59,Female,Economy,2.7,750.91,35.68,16950.58,-16163.99
FL3940,ORD,SFO,05/05/2023 13:26,05/05/2023 20:16,0,TRUE,40,Other,First,1,1993.78,246.62,16462.26,-14221.86
FL5943,LAX,DFW,07/07/2023 05:13,07/07/2023 08:19,149,FALSE,25,Male,Premium Economy,2.8,1521.82,282.08,15666.94,-13863.04
FL5325,SEA,ATL,24/07/2023 06:35,24/07/2023 10:31,0,FALSE,38,Other,Business,2.6,390.11,185.22,17292.36,-16717.03
FL3340,BOS,DEN,09/03/2023 11:23,09/03/2023 15:34,0,TRUE,28,Female,Economy,3.9,263.4,164.76,12238.02,-11809.86
FL8193,BOS,ORD,26/01/2023 20:06,27/01/2023 02:55,37,FALSE,64,Male,Premium Economy,4.8,730.95,211.35,15285.01,-14342.71
FL2685,SEA,SFO,21/09/2023 23:05,22/09/2023 05:12,0,FALSE,54,Other,Premium Economy,3,755.83,60.26,5100.5,-4284.41
FL9295,SEA,DFW,08/05/2023 13:00,08/05/2023 15:03,0,FALSE,31,Male,Business,3,856.98,20.09,13044.27,-12167.2
FL1252,DEN,LAX,22/01/2023 23:40,23/01/2023 01:45,64,TRUE,51,Male,First,2.9,945.64,241.57,12563.75,-11376.54
FL6337,BOS,MIA,19/06/2023 16:08,19/06/2023 22:32,52,FALSE,37,Female,Business,1.2,1820.59,39.23,17595.87,-15736.05
FL9968,SFO,MIA,14/11/2023 01:06,14/11/2023 05:38,0,FALSE,79,Female,Premium Economy,3,1135.99,7.24,9009.94,-7866.71
FL2781,BOS,DEN,28/07/2023 19:16,29/07/2023 02:02,102,TRUE,49,Male,Premium Economy,1.4,1639.67,153.18,11052.16,-9259.31
FL2670,ORD,DEN,23/07/2023 08:07,23/07/2023 14:51,0,FALSE,74,Male,Premium Economy,4.3,1221.07,253.95,13725.43,-12250.41
FL5406,JFK,BOS,20/08/2023 05:49,20/08/2023 12:25,0,TRUE,68,Other,Economy,4.5,1877.5,42.51,14843.03,-12923.02
FL1789,LAX,ATL,03/09/2023 08:56,03/09/2023 15:47,0,FALSE,19,Female,Premium Economy,1.5,449.57,166.42,12804.65,-12188.66
FL2795,LAX,MIA,08/06/2023 16:38,08/06/2023 19:12,0,FALSE,19,Male,First,3,926.77,132.38,9736.9,-8677.75
FL5171,DEN,SFO,08/10/2023 18:52,09/10/2023 01:29,29,FALSE,52,Other,Economy,2.1,832.92,99.08,13432.16,-12500.16
FL8993,MIA,BOS,14/02/2023 05:21,14/02/2023 08:19,0,TRUE,27,Male,Business,4.9,1300.17,6.86,6003.75,-4696.72
FL7014,DEN,BOS,10/10/2023 22:50,11/10/2023 03:57,0,TRUE,41,Male,Economy,4.2,948.7,127.02,6787.62,-5711.9
FL6454,ORD,SFO,13/07/2023 14:07,13/07/2023 19:07,0,FALSE,21,Other,Premium Economy,3.8,585.97,205.57,19065.38,-18273.84
FL9750,DFW,JFK,26/10/2023 02:43,26/10/2023 05:08,179,FALSE,39,Female,Business,4.1,1579.77,293.31,11576.13,-9703.05
FL7196,ATL,BOS,27/07/2023 05:26,27/07/2023 08:50,0,FALSE,59,Female,First,4.2,1742.03,258.63,13336.94,-11336.28
FL7135,DFW,SEA,15/04/2023 07:29,15/04/2023 13:50,0,FALSE,32,Female,First,3.4,1345.95,178.97,5820.59,-4295.67
FL1553,DEN,BOS,22/04/2023 10:09,22/04/2023 16:07,0,FALSE,24,Male,First,3.6,357.74,298.49,6566.34,-5910.11
FL9694,BOS,DEN,04/05/2023 14:26,04/05/2023 17:48,0,FALSE,37,Female,Business,4.6,169.65,272.04,11547.66,-11105.97
FL3380,SEA,DFW,10/05/2023 14:46,10/05/2023 21:35,90,TRUE,28,Female,Business,3.4,591.34,52.04,9485.77,-8842.39
FL6657,BOS,JFK,08/03/2023 06:34,08/03/2023 13:17,0,TRUE,18,Male,Business,3.5,627.86,74.51,14578.74,-13876.37
FL5069,SEA,ATL,15/12/2023 13:56,15/12/2023 17:28,0,TRUE,66,Male,Economy,2.6,859.09,102.25,11813.01,-10851.67
FL1102,JFK,ATL,06/11/2023 05:44,06/11/2023 09:49,0,FALSE,50,Male,Business,2.7,417.24,199.02,7298.37,-6682.11
FL2375,SFO,LAX,26/06/2023 09:18,26/06/2023 13:42,11,FALSE,40,Other,First,2.1,139.27,26.51,8628.59,-8462.81
FL8581,SEA,LAX,18/11/2023 20:14,19/11/2023 02:09,99,FALSE,48,Other,Economy,1.1,709.33,199.73,13437.48,-12528.42
FL9983,BOS,LAX,26/03/2023 02:23,26/03/2023 07:10,0,FALSE,65,Other,Premium Economy,4.2,1378.28,1.88,17073.44,-15693.28
FL6651,DFW,LAX,15/05/2023 03:11,15/05/2023 05:44,108,FALSE,45,Female,Economy,2,190.26,54.43,12626.59,-12381.9
FL3501,MIA,SFO,22/09/2023 23:01,23/09/2023 04:35,0,FALSE,71,Male,First,2.7,1699.04,34.08,8980.89,-7247.77
FL6408,BOS,ORD,17/10/2023 20:57,18/10/2023 00:31,0,FALSE,33,Male,Economy,4.3,1517.57,132.06,9680.7,-8031.07
FL7877,MIA,JFK,13/09/2023 01:36,13/09/2023 06:38,0,FALSE,74,Male,Premium Economy,1.4,1607.18,114.23,14147.54,-12426.13
FL4359,SFO,DFW,24/09/2023 15:27,24/09/2023 21:06,0,FALSE,20,Female,First,2.6,1765.76,257.64,15140.35,-13116.95
FL1374,ORD,JFK,25/07/2023 12:38,25/07/2023 14:41,12,FALSE,24,Male,Premium Economy,1.9,1059.81,123.27,18326.87,-17143.79
FL2159,LAX,JFK,08/05/2023 20:15,08/05/2023 22:32,0,TRUE,62,Male,Economy,1.1,1196.29,59.44,19371.71,-18115.98
FL7113,JFK,SFO,16/09/2023 13:13,16/09/2023 16:03,0,FALSE,58,Other,Premium Economy,1.6,680.01,183.89,7843.59,-6979.69
FL1847,LAX,SEA,07/01/2023 14:42,07/01/2023 18:27,0,FALSE,47,Female,First,4.8,577.58,15.8,16195.52,-15602.14
FL8079,MIA,JFK,26/05/2023 22:29,27/05/2023 02:41,0,FALSE,72,Other,Premium Economy,1.4,870.54,11.43,14180.64,-13298.67
FL8932,ATL,BOS,22/11/2023 08:30,22/11/2023 12:58,0,FALSE,22,Male,Premium Economy,3.4,178.36,284.44,9409.5,-8946.7
FL1977,SFO,ATL,27/08/2023 02:30,27/08/2023 07:22,0,TRUE,69,Female,First,4.2,679.32,208.95,7624.02,-6735.75
FL6988,MIA,LAX,18/02/2023 07:15,18/02/2023 11:21,78,FALSE,21,Male,Premium Economy,3.5,507.06,155.5,5055.38,-4392.82
FL4654,SFO,JFK,15/04/2023 22:00,16/04/2023 03:00,179,FALSE,23,Female,Economy,2.9,1569.14,65.39,18079.56,-16445.03
FL1339,ORD,BOS,07/09/2023 08:23,07/09/2023 13:55,129,FALSE,23,Male,Premium Economy,4.9,1269.02,224.17,19013.78,-17520.59
FL6362,ATL,SFO,02/02/2023 11:03,02/02/2023 15:56,0,TRUE,49,Male,First,3.8,1349.36,211.21,18101.32,-16540.75
FL2072,MIA,JFK,26/10/2023 02:39,26/10/2023 07:47,0,FALSE,73,Other,Business,1.2,493.03,197,10176.08,-9486.05
FL7007,JFK,DFW,17/09/2023 13:04,17/09/2023 18:00,166,TRUE,55,Male,First,2.9,1436.16,16.39,8793.69,-7341.14
FL5493,SEA,ATL,05/03/2023 05:13,05/03/2023 09:57,0,FALSE,38,Female,Premium Economy,3.5,560.68,175.31,11881.72,-11145.73
FL2282,ATL,MIA,19/04/2023 15:26,19/04/2023 19:58,0,TRUE,49,Female,Economy,1.7,608.96,172.69,14230.45,-13448.8
FL2624,LAX,MIA,01/02/2023 21:27,02/02/2023 04:23,0,FALSE,67,Female,Premium Economy,4,1172.3,259.28,8054.54,-6622.96
FL3461,MIA,LAX,16/02/2023 15:16,16/02/2023 17:25,0,FALSE,35,Female,Premium Economy,3.9,627.1,23.94,11585.62,-10934.58
FL5991,ATL,DFW,06/12/2023 21:23,07/12/2023 02:30,0,FALSE,74,Other,Premium Economy,3.9,1931.57,91.47,14148.65,-12125.61
FL8670,DEN,ATL,05/04/2023 18:55,05/04/2023 22:06,0,FALSE,65,Female,First,4.5,1470.71,286.59,16435.53,-14678.23
FL9156,MIA,DEN,27/08/2023 03:34,27/08/2023 10:25,0,TRUE,30,Male,Business,3.1,1799.7,124.99,13149.73,-11225.04
FL1210,ATL,SFO,18/05/2023 01:28,18/05/2023 08:23,0,FALSE,25,Male,Business,2.2,102.69,219.95,5569.78,-5247.14
FL7917,ORD,JFK,24/12/2023 05:42,24/12/2023 08:05,18,FALSE,18,Other,Premium Economy,1.5,1676.17,53.11,7321.29,-5592.01
FL1018,MIA,SEA,11/07/2023 21:10,12/07/2023 01:46,0,FALSE,43,Male,Economy,1.6,1972.6,221.03,9395.02,-7201.39
FL4212,SEA,JFK,17/04/2023 06:39,17/04/2023 11:53,0,TRUE,34,Female,Economy,2,420.72,216.34,15257.34,-14620.28
FL2778,SEA,LAX,01/07/2023 23:44,02/07/2023 02:48,56,FALSE,73,Male,First,3.4,744.88,228.97,18412.64,-17438.79
FL4625,DEN,DFW,06/03/2023 04:10,06/03/2023 06:48,0,FALSE,45,Female,Business,4.7,958.49,99.01,7826.98,-6769.48
FL7116,ATL,MIA,25/11/2023 02:01,25/11/2023 05:40,0,TRUE,68,Other,First,1.2,1151.06,210.87,6078.85,-4716.92
FL9175,DFW,SEA,12/08/2023 18:30,12/08/2023 23:08,107,FALSE,48,Other,Business,1,1290.66,239.84,12725.33,-11194.83
FL3590,LAX,ORD,26/12/2023 00:54,26/12/2023 05:18,0,FALSE,28,Male,Economy,2.1,1931.47,56.87,16547.47,-14559.13
FL8214,BOS,JFK,11/08/2023 13:28,11/08/2023 16:22,0,FALSE,62,Other,Business,1.3,561.01,43.86,6809.75,-6204.88
FL6887,JFK,ATL,07/05/2023 00:40,07/05/2023 05:59,12,TRUE,41,Male,Business,3.9,1740.25,65.19,10750.04,-8944.6
FL6791,MIA,JFK,01/04/2023 12:26,01/04/2023 18:22,0,FALSE,18,Female,Premium Economy,2.9,1853.62,217.97,18641.2,-16569.61
FL7626,ATL,SEA,21/09/2023 16:05,21/09/2023 22:18,0,FALSE,28,Male,Business,2.2,1637.73,32.53,14784.68,-13114.42
FL1166,DEN,SFO,26/02/2023 18:04,26/02/2023 20:46,0,TRUE,31,Female,Business,3.2,154.59,220.95,19444.34,-19068.8
FL2956,ORD,SEA,25/04/2023 21:02,26/04/2023 02:45,0,FALSE,69,Female,First,1.3,887.24,148.32,19415.08,-18379.52
FL5850,ATL,DFW,12/03/2023 14:05,12/03/2023 20:05,0,FALSE,55,Other,Premium Economy,1.2,409.62,116.68,7906.09,-7379.79
FL2508,BOS,MIA,08/07/2023 13:55,08/07/2023 20:11,0,FALSE,49,Male,Premium Economy,1,1422.92,163.82,16364,-14777.26
FL4896,DFW,LAX,26/12/2023 09:44,26/12/2023 16:30,0,FALSE,41,Female,Economy,4.5,1466.79,183.86,13356.41,-11705.76
FL1407,LAX,SEA,14/04/2023 13:47,14/04/2023 17:51,0,FALSE,50,Other,Premium Economy,2.6,1975.59,200.8,7529.26,-5352.87
FL4050,ORD,DFW,24/10/2023 13:40,24/10/2023 16:35,0,FALSE,73,Other,First,1.5,513.81,124.8,7523.9,-6885.29
FL5676,SFO,JFK,13/10/2023 14:29,13/10/2023 19:14,163,FALSE,65,Other,Premium Economy,2.3,1458.66,298.43,14411.85,-12654.76
FL8031,LAX,SFO,14/01/2023 00:55,14/01/2023 03:57,0,FALSE,39,Male,First,1.4,1218.2,295.29,5820.56,-4307.07
FL9297,SEA,SFO,17/09/2023 08:11,17/09/2023 11:41,104,TRUE,59,Female,Economy,2.8,1242.56,183.86,17076.82,-15650.4
FL7349,ATL,MIA,09/09/2023 08:21,09/09/2023 11:48,0,FALSE,59,Female,Premium Economy,2.5,1593.61,219.63,14570.25,-12757.01
FL4383,MIA,SFO,22/08/2023 12:25,22/08/2023 16:23,72,FALSE,72,Male,Premium Economy,2.9,1041.02,176.28,10156.46,-8939.16
FL3366,BOS,DEN,01/05/2023 04:51,01/05/2023 09:01,37,TRUE,68,Other,Premium Economy,1,508.16,14.13,10713.92,-10191.63
FL9468,LAX,DFW,01/09/2023 16:32,01/09/2023 21:50,82,TRUE,48,Female,Business,3.7,1519.87,144.59,7946.39,-6281.93
FL7423,DEN,LAX,21/09/2023 04:05,21/09/2023 09:19,0,FALSE,46,Other,Premium Economy,3.6,444.12,197.63,13456.04,-12814.29
FL4647,MIA,SFO,19/12/2023 23:23,20/12/2023 03:01,0,FALSE,52,Female,First,3.5,218.51,115.33,7755.47,-7421.63
FL3696,MIA,ORD,19/01/2023 21:04,20/01/2023 03:21,0,FALSE,35,Other,Business,4,563.85,12.11,7683.62,-7107.66
FL9173,SFO,JFK,21/08/2023 10:16,21/08/2023 15:35,0,FALSE,70,Male,Premium Economy,4.1,897.78,225.12,18843.74,-17720.84
FL3363,DFW,BOS,15/11/2023 23:24,16/11/2023 04:28,0,FALSE,56,Male,Premium Economy,4.6,743.17,160.91,13744.01,-12839.93
FL4675,DEN,JFK,16/09/2023 14:31,16/09/2023 17:45,155,TRUE,78,Other,First,2.7,290.76,70.46,15063.89,-14702.67
FL6147,JFK,BOS,25/11/2023 15:42,25/11/2023 22:22,0,TRUE,63,Female,First,3.4,588.63,102.23,12239.99,-11549.13
FL1394,SEA,MIA,11/07/2023 00:36,11/07/2023 04:29,0,TRUE,45,Female,First,3,487.09,45.67,19358.64,-18825.88
FL6271,SEA,MIA,04/06/2023 22:59,05/06/2023 05:18,0,TRUE,46,Male,Premium Economy,4,1996.06,94.39,12327.5,-10237.05
FL2500,ORD,ATL,01/11/2023 04:27,01/11/2023 10:59,0,FALSE,42,Female,Premium Economy,1.1,594.38,251.6,13246.06,-12400.08
FL4563,DEN,ATL,14/01/2023 07:12,14/01/2023 11:56,0,FALSE,48,Male,Economy,3.3,227.79,49.31,7003.64,-6726.54
FL9258,DFW,ATL,05/08/2023 18:24,05/08/2023 22:05,0,TRUE,79,Female,First,2,1511.04,201.29,15158.3,-13445.97
FL9054,ORD,LAX,24/04/2023 19:16,24/04/2023 21:47,0,FALSE,31,Male,Business,4.6,988.47,37.96,9457.54,-8431.11
FL7576,MIA,JFK,05/02/2023 07:23,05/02/2023 09:29,160,FALSE,37,Female,Premium Economy,1.3,1521.89,223.55,12304.99,-10559.55
FL2972,ORD,MIA,02/03/2023 22:34,03/03/2023 05:07,0,FALSE,80,Female,Business,3.3,1155.18,15.88,5136.46,-3965.4
FL7411,DEN,MIA,23/06/2023 06:32,23/06/2023 11:15,0,FALSE,18,Female,Economy,3.4,1881.58,75.72,18421.9,-16464.6
FL5256,JFK,SFO,10/07/2023 06:46,10/07/2023 09:55,0,FALSE,20,Female,Economy,1.8,783.53,154.26,16328.85,-15391.06
FL2120,DEN,MIA,04/10/2023 12:58,04/10/2023 18:04,29,FALSE,41,Male,Premium Economy,4.5,1495.94,39.04,6889.55,-5354.57
FL3268,DEN,SFO,20/04/2023 10:07,20/04/2023 16:07,0,FALSE,63,Male,Business,2.7,1299.62,1.49,14825.46,-13524.35
FL3087,DEN,BOS,18/11/2023 05:07,18/11/2023 11:19,0,FALSE,63,Female,Business,1.5,1901.79,222.21,19505.86,-17381.86
FL1081,DEN,MIA,11/08/2023 07:32,11/08/2023 09:47,0,FALSE,35,Other,First,3.2,547.15,217.16,11675.16,-10910.85
FL6223,SFO,ATL,08/06/2023 06:18,08/06/2023 11:44,177,TRUE,77,Female,First,2.1,865.83,3.27,5275.66,-4406.56
FL6227,BOS,ATL,15/04/2023 21:47,16/04/2023 00:58,130,FALSE,34,Other,Economy,2.7,465.78,42.03,6313.92,-5806.11
FL7614,SFO,ATL,25/06/2023 01:45,25/06/2023 08:04,0,FALSE,24,Other,First,1.8,172.61,111.95,10753.48,-10468.92
FL8065,DEN,BOS,01/09/2023 14:23,01/09/2023 17:44,0,FALSE,33,Female,Economy,3.6,581.14,242.55,8126.01,-7302.32
FL2500,DFW,DEN,11/08/2023 15:55,11/08/2023 21:35,0,FALSE,69,Female,Premium Economy,1.6,251.75,126.21,5453.34,-5075.38
FL5413,DEN,DFW,28/01/2023 02:58,28/01/2023 06:30,0,TRUE,68,Other,Business,2.8,1771.43,35.29,19493.07,-17686.35
FL7863,BOS,DFW,21/03/2023 06:36,21/03/2023 12:52,0,FALSE,69,Male,First,2.9,1862.96,76.08,14591.66,-12652.62
FL3914,ORD,ATL,05/04/2023 02:25,05/04/2023 05:39,165,FALSE,80,Male,First,1.1,1117.27,68.87,5690.17,-4504.03
FL8099,DEN,DFW,27/06/2023 00:14,27/06/2023 06:37,0,TRUE,67,Male,Economy,3.6,1722.25,257.07,15711.83,-13732.51
FL4012,ATL,MIA,08/03/2023 22:57,09/03/2023 04:12,0,TRUE,20,Female,Business,2.2,867.33,275.96,10044.34,-8901.05
FL7445,LAX,ATL,24/12/2023 08:14,24/12/2023 13:35,0,FALSE,70,Female,Economy,1.3,478.61,21.53,6786.68,-6286.54
FL5171,SFO,BOS,11/04/2023 23:43,12/04/2023 06:32,0,TRUE,68,Female,First,3.1,159.75,229.19,19272.27,-18883.33
FL1517,SFO,JFK,13/04/2023 09:21,13/04/2023 15:33,0,TRUE,53,Other,Premium Economy,2.3,1412.74,249.73,8263.46,-6600.99
